impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index
kapman_v0_handwritten_structural,STRL,2025-07-10,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-07-10', 'idx': 384, 'label': 'SOS', 'score': 1.5911068702087554}}",SOS,UP,ENTRY,2025-07-10,384
kapman_v0_handwritten_structural,TDC,2024-04-16,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-04-16', 'idx': 76, 'label': 'SOS', 'score': 1.654867049352607}}",SOS,UP,ENTRY,2024-04-16,76
kapman_v0_handwritten_structural,TDY,2025-07-10,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-07-10', 'idx': 384, 'label': 'SOS', 'score': 2.428289073007695}}",SOS,UP,ENTRY,2025-07-10,384
kapman_v0_handwritten_structural,TLN,2025-08-01,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-01', 'idx': 266, 'label': 'SOS', 'score': 2.504436823414374}}",SOS,UP,ENTRY,2025-08-01,266
kapman_v0_handwritten_structural,TSLA,2024-12-16,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-16', 'idx': 245, 'label': 'SOS', 'score': 1.779916106871518}}",SOS,UP,ENTRY,2024-12-16,245
kapman_v0_handwritten_structural,TWLO,2025-01-27,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-01-27', 'idx': 271, 'label': 'SOS', 'score': 2.2171921084294777}}",SOS,UP,ENTRY,2025-01-27,271
kapman_v0_handwritten_structural,UEC,2025-09-22,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-22', 'idx': 435, 'label': 'SOS', 'score': 2.88524431991965}}",SOS,UP,ENTRY,2025-09-22,435
kapman_v0_handwritten_structural,UMAC,2024-11-29,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-29', 'idx': 200, 'label': 'SOS', 'score': 4.800206906448586}}",SOS,UP,ENTRY,2024-11-29,200
kapman_v0_handwritten_structural,URAN,2025-09-19,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-19', 'idx': 247, 'label': 'SOS', 'score': 2.996246384047621}}",SOS,UP,ENTRY,2025-09-19,247
kapman_v0_handwritten_structural,VRT,2025-10-13,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-13', 'idx': 450, 'label': 'SOS', 'score': 1.8359050483156483}}",SOS,UP,ENTRY,2025-10-13,450
kapman_v0_handwritten_structural,WDAY,2024-02-27,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-27', 'idx': 42, 'label': 'SOS', 'score': 2.867138528781332}}",SOS,UP,ENTRY,2024-02-27,42
kapman_v0_handwritten_structural,ZM,2024-11-11,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-11', 'idx': 221, 'label': 'SOS', 'score': 4.003435126377147}}",SOS,UP,ENTRY,2024-11-11,221
