symbol,event,direction,role,event_date,bar_index,impl
SOUN,SOS,UP,ENTRY,2024-12-16,245,kapman_v0_handwritten_structural
SOUN,BC,DOWN,ENTRY,2025-08-11,406,kapman_v0_handwritten_structural
SPCE,SOW,DOWN,ENTRY,2024-03-18,56,kapman_v0_handwritten_structural
SPCE,SOS,UP,ENTRY,2024-06-17,119,kapman_v0_handwritten_structural
SPCE,BC,DOWN,ENTRY,2024-11-11,221,kapman_v0_handwritten_structural
SPCE,SC,NA,IGNORE,2025-03-19,307,kapman_v0_handwritten_structural
SPCE,AR,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
STM,SOS,UP,ENTRY,2024-02-23,40,kapman_v0_handwritten_structural
STM,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
STM,BC,DOWN,ENTRY,2025-12-03,486,kapman_v0_handwritten_structural
STRL,SPRING,UP,ENTRY,2024-02-26,41,kapman_v0_handwritten_structural
STRL,SC,NA,IGNORE,2025-04-07,320,kapman_v0_handwritten_structural
STRL,AR,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
STRL,BC,DOWN,ENTRY,2025-06-17,369,kapman_v0_handwritten_structural
STRL,SOS,UP,ENTRY,2025-07-10,384,kapman_v0_handwritten_structural
TDC,SOS,UP,ENTRY,2024-04-16,76,kapman_v0_handwritten_structural
TDC,SOW,DOWN,ENTRY,2025-04-04,319,kapman_v0_handwritten_structural
TDC,SC,NA,IGNORE,2025-08-06,403,kapman_v0_handwritten_structural
TDC,AR,NA,IGNORE,2025-08-13,408,kapman_v0_handwritten_structural
TDC,BC,DOWN,ENTRY,2025-11-05,467,kapman_v0_handwritten_structural
TDY,SPRING,UP,ENTRY,2024-03-15,55,kapman_v0_handwritten_structural
TDY,SOW,DOWN,ENTRY,2024-04-04,68,kapman_v0_handwritten_structural
TDY,BC,DOWN,ENTRY,2025-01-22,268,kapman_v0_handwritten_structural
TDY,SC,NA,IGNORE,2025-04-07,320,kapman_v0_handwritten_structural
TDY,AR,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
TDY,SOS,UP,ENTRY,2025-07-10,384,kapman_v0_handwritten_structural
TLN,BC,DOWN,ENTRY,2025-07-18,256,kapman_v0_handwritten_structural
TLN,SOS,UP,ENTRY,2025-08-01,266,kapman_v0_handwritten_structural
TRI,SPRING,UP,ENTRY,2024-02-14,34,kapman_v0_handwritten_structural
TRI,SOW,DOWN,ENTRY,2024-08-01,150,kapman_v0_handwritten_structural
TRI,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
TRI,AR,NA,IGNORE,2025-04-11,324,kapman_v0_handwritten_structural
