date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20
2025-09-19,MENS,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.08960682718683333,-0.2685156964340141,-0.100883876866809
2024-04-03,MEOH,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.0338948233360723,-0.036770747740345056,-0.009244042728019819
2024-08-05,MEOH,SPRING:MARKUP,MARKUP,SPRING,contextual,0.03541315345699836,0.07612623464225488,0.07251264755480613
2024-09-09,MEOH,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual,-0.012276214833759735,0.009462915601022859,0.14833759590792828
2025-10-31,MEOH,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.04832146490335698,-0.06434384537131232,-0.07731434384537128
2024-03-04,MERC,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.000983284169124854,-0.10226155358898714,-0.007866273352999054
2025-07-28,MERC,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.23623853211009183,-0.39220183486238536,-0.2477064220183487
2024-12-23,MESO,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.14915844457341842,-0.0029019152640743506,0.06326175275681956
2025-09-19,MESO,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.06760728982951214,0.08230452674897104,0.003527336860670083
2024-03-05,MET,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.017312331488576582,0.027387540797502608,0.043990350503760434
2024-10-31,MET,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.03315480744707977,0.053302728895689766,0.12509563886763586
2024-11-21,MET,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,0.03568493954689522,0.00035215400868637836,-0.044958328442305406
2025-02-06,MET,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.015895781044579893,-0.031791562089159786,-0.016971435400980006
2024-03-07,META,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.03975087369921326,-0.008649134110388812,0.029578867217243454
2025-01-27,META,BC:MARKDOWN,MARKDOWN,BC,contextual,0.05694974843911016,0.08716736376310852,-0.003606716372673846
2025-03-21,META,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,-0.03272117400419283,-0.15349266247379456,-0.18715303983228504
2025-08-01,META,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,0.02571965707123902,0.04695937387501514,-0.015079798936014077
2025-07-15,METC,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.027803099361896177,-0.05332725615314504,0.13126709206927978
2025-09-18,METC,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.06662354463130638,0.1335705045278135,0.6002587322121602
2025-10-13,METCB,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.19566220581449012,-0.3382556529764652,-0.2658052607291187
2025-09-10,METCZ,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.01498565575363664,-0.005648289963692266,0.004874711365774553
2025-10-07,METCZ,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.004265219077161708,-0.0015509887553314394,-0.011244668476153463
2024-08-01,METD,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.02742616033755263,-0.0754978902953587,-0.03881856540084383
2025-10-31,METD,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.04248768472906406,0.06280788177339924,0.011083743842364768
2025-01-27,METU,BC:UNKNOWN,UNKNOWN,BC,contextual,0.1133525456292026,0.17603266090297787,-0.018972142170989414
2024-12-20,METV,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.008213552361396204,0.005475701574264136,0.02806297056810414
2025-02-21,METV,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.03873933026920551,-0.05843729481286941,-0.0781352593565332
2025-11-21,METW,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,0.07715491259795071,0.11934900542495486,0.08921036769138047
2025-11-21,METW,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,0.07715491259795071,0.11934900542495486,0.08921036769138047
2024-03-20,MEXX,SOS:UNKNOWN,UNKNOWN,SOS,contextual,0.043870446125813034,0.05998020972860796,-0.13856810146134246
2025-09-11,MEXX,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0037261294829995517,0.010246856078248934,-0.026548672566371723
2024-02-29,MFA,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0017825311942960553,-0.002673796791443972,0.01693404634581097
2024-04-10,MFA,SOS:MARKUP,MARKUP,SOS,contextual,-0.04115996258185217,0.0,0.00187090739008422
2025-02-19,MFA,BC:MARKUP,MARKUP,BC,contextual,0.02034883720930214,0.030038759689922534,0.0620155038759691
2025-09-16,MFEM,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.006785400175901457,-0.009744942832013992,-0.03240545294635
2024-03-05,MFG,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.041450777202072464,0.023316062176165886,0.007772020725388629
2024-03-05,MFG,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.041450777202072464,0.023316062176165886,0.007772020725388629
2025-11-11,MFG,BC:NONE,NONE,BC,contextual,-0.026745913818722267,0.019316493313521477,0.0846953937592867
2025-11-11,MFG,BC:NONE,NONE,BC,contextual,-0.026745913818722267,0.019316493313521477,0.0846953937592867
2025-11-14,MFG,SOS:NONE,NONE,SOS,contextual,-0.062411347517730476,0.015602836879432758,0.07659574468085117
2025-11-14,MFG,SOS:NONE,NONE,SOS,contextual,-0.062411347517730476,0.015602836879432758,0.07659574468085117
2025-05-09,MFI,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,0.031159420289855078,0.11376811594202896,2.8405797101449277
2025-05-30,MFI,BC:ACCUMULATION,ACCUMULATION,BC,contextual,1.5203252032520327,2.9140534262485485,6.038327526132404
2025-06-11,MFI,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.12562814070351758,0.40201005025125625,6.263819095477387
2024-05-31,MFIC,BC:UNKNOWN,UNKNOWN,BC,contextual,0.007448789571694592,-0.05834885164494097,-0.05834885164494097
2024-12-06,MFICL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.008003123170017501,-0.012687878196369295,-0.010735896935389344
2024-02-23,MFIN,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,-0.04886769964243143,-0.035756853396901156,-0.07985697258641244
2024-04-30,MFIN,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.07472826086956519,0.09782608695652173,0.10733695652173902
2025-07-01,MFIN,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.014184397163120477,-0.04255319148936165,0.023302938196555267
