dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
contextual,contextual,SOS:UNKNOWN,20,win_rate,,0.3327683615819209,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:ACCUMULATION,5,win_rate,,0.6024464831804281,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:ACCUMULATION,10,win_rate,,0.627170582226762,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:ACCUMULATION,20,win_rate,,0.6397134083930399,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:DISTRIBUTION,5,win_rate,,0.6636363636363637,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:DISTRIBUTION,10,win_rate,,0.6717325227963525,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:DISTRIBUTION,20,win_rate,,0.7134146341463414,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:MARKDOWN,5,win_rate,,0.6009615384615384,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:MARKDOWN,10,win_rate,,0.5865384615384616,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:MARKDOWN,20,win_rate,,0.5242718446601942,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:MARKUP,5,win_rate,,0.5855855855855856,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:MARKUP,10,win_rate,,0.6486486486486487,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:MARKUP,20,win_rate,,0.7207207207207207,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:NONE,5,win_rate,,0.6060606060606061,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:NONE,10,win_rate,,0.45454545454545453,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:NONE,20,win_rate,,0.6428571428571429,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:UNKNOWN,5,win_rate,,0.6301916932907349,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:UNKNOWN,10,win_rate,,0.6182108626198083,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
contextual,contextual,SOW:UNKNOWN,20,win_rate,,0.6179056754596323,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
