symbol,date,event,prior_regime,base_event,detector
DIOD,2025-02-12,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DIS,2024-02-06,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DIS,2024-04-03,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
DIS,2024-06-28,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
DIS,2024-11-15,BC:MARKDOWN,MARKDOWN,BC,contextual
DIT,2024-03-14,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DIT,2024-04-19,SOS:MARKUP,MARKUP,SOS,contextual
DIT,2025-02-06,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DIT,2025-04-17,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual
DIVB,2024-02-14,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DIVB,2025-10-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DIVB,2025-12-10,SOS:NONE,NONE,SOS,contextual
DIVB,2025-12-10,SOS:NONE,NONE,SOS,contextual
DIVD,2025-04-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DIVG,2024-04-15,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DIVO,2025-08-22,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DIVO,2025-09-11,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DIVY,2024-03-20,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DIVY,2025-02-03,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DIVZ,2024-04-09,BC:UNKNOWN,UNKNOWN,BC,contextual
DIVZ,2024-05-31,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DJAN,2025-01-21,BC:UNKNOWN,UNKNOWN,BC,contextual
DJAN,2025-08-22,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DJD,2024-07-26,BC:UNKNOWN,UNKNOWN,BC,contextual
DJD,2024-09-11,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DJIA,2024-03-05,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DJIA,2025-10-14,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DJT,2024-06-24,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DJT,2025-12-18,BC:NONE,NONE,BC,contextual
DJT,2025-12-18,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DJTU,2025-05-27,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DJTU,2025-12-18,BC:NONE,NONE,BC,contextual
DJTU,2025-12-18,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DJUL,2024-04-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DJUL,2024-07-22,BC:MARKDOWN,MARKDOWN,BC,contextual
DJUL,2024-09-11,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DK,2025-11-07,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DK,2025-11-07,BC:NONE,NONE,BC,contextual
DKL,2025-11-14,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DKL,2025-11-14,BC:NONE,NONE,BC,contextual
DKNG,2025-02-14,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DKNG,2025-07-30,BC:MARKUP,MARKUP,BC,contextual
DKS,2024-03-06,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DKS,2024-03-13,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DKS,2024-03-21,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
DKS,2024-09-04,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DLB,2024-04-09,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DLB,2024-08-01,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DLB,2024-11-20,BC:MARKDOWN,MARKDOWN,BC,contextual
DLB,2024-11-20,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DLHC,2025-10-30,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DLLL,2025-10-08,BC:UNKNOWN,UNKNOWN,BC,contextual
DLN,2025-10-14,BC:UNKNOWN,UNKNOWN,BC,contextual
DLNG,2024-06-20,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DLNG,2025-11-20,BC:NONE,NONE,BC,contextual
DLNG,2025-11-20,BC:NONE,NONE,BC,contextual
DLO,2024-03-08,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DLO,2025-08-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DLPN,2024-02-16,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
DLPN,2024-07-10,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
DLPN,2025-10-14,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
DLPN,2025-10-27,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DLR,2024-02-28,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DLR,2024-04-15,SOW:MARKDOWN,MARKDOWN,SOW,contextual
DLR,2024-10-25,SOS:MARKDOWN,MARKDOWN,SOS,contextual
DLR,2025-09-10,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DLTH,2025-03-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DLTR,2024-03-13,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DLTR,2024-09-04,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
DLTR,2025-06-03,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DLTR,2025-06-05,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DLX,2024-05-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
DLX,2025-08-07,BC:ACCUMULATION,ACCUMULATION,BC,contextual
DLXY,2025-09-26,SOS:UNKNOWN,UNKNOWN,SOS,contextual
DMAC,2024-03-11,SOW:UNKNOWN,UNKNOWN,SOW,contextual
DMAC,2024-12-20,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
DMAC,2025-11-25,BC:NONE,NONE,BC,contextual
DMAC,2025-11-25,BC:NONE,NONE,BC,contextual
DMAC,2025-12-10,SOS:NONE,NONE,SOS,contextual
DMAC,2025-12-10,SOS:MARKUP,MARKUP,SOS,contextual
DMAR,2024-03-20,BC:UNKNOWN,UNKNOWN,BC,contextual
DMAR,2024-07-18,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
