date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20,start_date,end_date,git_sha,run_timestamp
2024-03-20,ABLV,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.2167832167832166,-0.2272727272727273,-0.4108391608391608,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-05-30,ABLV,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual,0.1636363636363635,-0.0363636363636363,-0.0454545454545455,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-03-07,ABLV,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,-0.4137931034482758,-0.3840229885057471,-0.4939080459770114,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-09,ABLV,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0879892297336282,-0.1393403211847292,-0.0728916241946341,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-07,ABM,SOW:UNKNOWN,UNKNOWN,SOW,contextual,-0.0382929642445214,0.029988465974625,0.0184544405997693,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-06-07,ABM,SOS:MARKDOWN,MARKDOWN,SOS,contextual,-0.0347467608951707,0.0064782096584217,-0.0386729485669414,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-07,ABM,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,0.0748626373626375,0.0821886446886448,0.1398809523809523,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-05,ABM,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0511811023622047,-0.0669291338582677,-0.0350186489846663,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-11,ABNB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0321605609962519,-0.0145689759400313,-0.1110506589287871,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-02-14,ABNB,BC:MARKUP,MARKUP,BC,contextual,-0.1028373187956882,-0.1266261925411969,-0.2136042621732127,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-01,ABOS,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0581896551724137,-0.0991379310344827,-0.1357758620689655,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-09,ABOS,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.0533333333333333,-0.0622222222222222,-0.1555555555555555,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-23,ABP,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.0191583989052344,-0.1159767362299007,-0.1549777625726993,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-25,ABP,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.2450856055802156,-0.2200380469245403,-0.2105263157894736,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-23,ABR,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0280303030303029,0.0196969696969697,0.0446969696969696,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-22,ABR,BC:MARKUP,MARKUP,BC,contextual,-0.0033840947546531,-0.0025380710659899,-0.0279187817258883,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-04,ABSI,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.181184668989547,-0.1881533101045296,-0.1045296167247388,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-06-17,ABSI,SOW:MARKUP,MARKUP,SOW,contextual,-0.1378299120234605,-0.1290322580645161,0.284457478005865,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-09-10,ABSI,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual,0.0762942779291553,0.0790190735694822,0.0735694822888284,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-15,ABSI,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.143,-0.126,-0.32,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-06-24,ABT,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0131807647740441,-0.035196987253766,-0.0887166859791426,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-01,ABT,BC:MARKUP,MARKUP,BC,contextual,0.0059938562972954,-0.0301191278939088,-0.0677305761594365,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-03-04,ABTS,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual,8.473684210526317,8.501849217638693,6.652916073968706,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-22,ABTS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.110867178924259,0.110867178924259,-0.3040614709110867,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-01,ABTS,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.050632911392405,-0.3427458617332034,-0.3476144109055501,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-02-07,ABUS,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.1686746987951806,0.1686746987951806,0.0843373493975903,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-11,ABUS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0979591836734694,-0.1183673469387754,-0.1285714285714286,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-07,ABVC,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.1203007518796993,-0.1177944862155389,-0.1979949874686717,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-03,ABVE,BC:UNKNOWN,UNKNOWN,BC,contextual,0.2866894197952219,0.8020477815699658,0.2286689419795222,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-11-20,ABVX,BC:NONE,NONE,BC,contextual,0.0157038242473555,-0.06826688364524,-0.0647681041497152,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-11-20,ABVX,BC:NONE,NONE,BC,contextual,0.0157038242473555,-0.06826688364524,-0.0647681041497152,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-10,ABVX,SOS:NONE,NONE,SOS,contextual,-0.1310279934133146,0.1394181761154238,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-10,ABVX,SOS:NONE,NONE,SOS,contextual,-0.1310279934133146,0.1394181761154238,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-09,ABXB,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,0.0019615254947231,0.0052818160456873,0.0055372230111458,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-08-05,ACA,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.0676543857348892,0.1363576766749705,0.1305886980464141,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-08-05,ACA,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.0676543857348892,0.1363576766749705,0.1305886980464141,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-12,ACA,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,0.0132264916006952,0.0506854605136126,0.0423826993628113,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-31,ACA,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0286274509803922,-0.0149019607843137,0.0370588235294118,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-12,ACAD,SPRING:DISTRIBUTION,DISTRIBUTION,SPRING,contextual,-0.0640640640640641,-0.1096096096096096,-0.1126126126126125,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-05-09,ACAD,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.0236686390532545,0.0216962524654831,-0.0210387902695595,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-05-08,ACAD,BC:MARKDOWN,MARKDOWN,BC,contextual,0.0395747194329594,0.2728883638511519,0.2982870643827526,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-12,ACAD,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0188605108055009,0.0106090373280942,-0.0648330058939096,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-03,ACB,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0624133148404992,-0.1969486823855756,0.0208044382801664,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-12,ACB,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.0814814814814816,,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-12,ACB,BC:NONE,NONE,BC,contextual,-0.0814814814814816,,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-01,ACCO,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.144486692015209,0.1064638783269962,0.1653992395437262,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-11,ACCO,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0870253164556963,-0.0569620253164557,-0.0205696202531645,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-06-11,ACCS,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.0292887029288703,-0.0167364016736401,-0.015899581589958,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-06,ACDC,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0539152759948652,0.0539152759948653,0.1373555840821565,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-29,ACDC,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0240740740740742,-0.2935185185185186,-0.3648148148148148,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-04,ACEL,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.1452455590386625,0.1504702194357365,0.1233019853709509,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-21,ACEL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.014240506329114,-0.0253164556962025,-0.1147151898734177,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
