symbol,date,event,score,detector,start_date,end_date,git_sha,run_timestamp
AAPD,2025-04-07,BC,5.4141381073031365,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2025-04-09,AR_TOP,4.641736883034183,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2025-10-10,SC,2.795370655565449,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2025-10-22,AR,1.1344589367228517,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2025-11-20,SOW,1.910376318186954,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPG,2025-03-28,SOS,1.8842230629470331,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPG,2025-04-08,BC,2.8204921388100908,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPG,2025-04-09,AR_TOP,1.5085753761210694,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPL,2024-03-08,SOW,1.7043908376195462,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPL,2024-04-11,SPRING,1.2927815565919454,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPL,2025-04-09,SC,3.67607230881301,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPL,2025-04-11,AR,1.110068973212031,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPL,2025-08-08,BC,2.6288569200847625,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPR,2024-11-05,BC,2.327842004372401,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPR,2025-04-07,SC,5.188780563616834,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPR,2025-04-09,AR,4.26579009663785,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPU,2025-04-09,SC,4.367330195217698,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPU,2025-04-11,AR,0.9404244366900684,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPU,2025-08-08,BC,3.850359922221889,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPX,2025-04-09,SC,3.270712655484078,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPX,2025-04-11,AR,0.9896198416554736,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPX,2025-08-08,BC,3.2521081564705625,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-03-20,SC,5.922125882990426,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-03-22,AR,1.1933458822706533,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-04-30,SOW,3.086575804012571,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-06-11,BC,2.734386849196256,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-06-14,AR_TOP,3.290475051008644,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-07-18,SOS,2.8950066668214123,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-07-22,UT,0.0353250860100647,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AARD,2025-06-24,SOS,2.642830078746729,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AARD,2025-06-26,UT,0.7186876187026922,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AARD,2025-12-03,BC,4.019176221604706,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AARD,2025-12-09,AR_TOP,1.6716078535439325,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AB,2024-10-21,UT,1.672371597917108,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AB,2024-10-24,SOS,1.5451763022905052,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AB,2024-12-20,BC,3.984714385278247,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AB,2025-01-07,AR_TOP,0.8739865424318153,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AB,2025-08-19,SC,2.700003959299919,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABAT,2024-11-21,SPRING,1.2176479773678694,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABAT,2024-11-22,SC,2.60278142319629,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABAT,2024-11-25,AR,2.2608696792225804,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABAT,2025-10-14,BC,3.265730309567126,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABAT,2025-10-15,AR_TOP,3.999555190795162,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2024-02-01,SPRING,,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2024-04-26,SOW,3.705325202319132,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2025-04-09,SC,3.3079726055694985,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2025-04-25,AR,0.6359603187197281,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2025-10-01,BC,3.148671032114737,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2025-10-02,AR_TOP,2.0638072831479244,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2024-03-20,SOW,1.5389193354576125,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2024-07-09,SPRING,1.0768035548937054,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2024-11-06,SOS,2.749561011238663,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2024-11-11,UT,0.0206434169298777,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2025-04-09,SC,2.171206586219693,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2025-04-29,AR,1.1812941723890218,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2025-07-29,BC,4.633831741687716,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2025-07-30,AR_TOP,1.070935346597283,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCL,2025-02-28,SC,2.978834434893905,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCL,2025-10-01,BC,3.427837437366988,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCL,2025-10-03,AR_TOP,1.1691198025226972,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCS,2024-04-12,SOW,2.3676968234758657,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCS,2025-01-13,SPRING,0.866470791259838,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCS,2025-08-12,BC,2.360329598569259,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCS,2025-11-21,SC,2.4510554711690027,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCS,2025-12-10,AR,1.846582769385823,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2024-02-27,UT,,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2024-03-01,SOS,1.892089035672854,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2025-04-02,SC,3.1715097261192287,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2025-04-03,AR,1.864276680922244,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2025-04-08,SOW,2.2542345458496738,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2025-04-09,SPRING,2.823905548402468,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2025-04-30,BC,4.810479023732114,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEO,2025-05-07,AR_TOP,0.624965015723503,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEQ,2025-09-11,BC,2.031797306607787,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEQ,2025-09-22,AR_TOP,1.4695128963792694,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEV,2024-02-07,UT,,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEV,2025-10-30,BC,4.154418249799384,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABEV,2025-11-19,AR_TOP,2.6108841713543187,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABFL,2025-03-31,SC,3.0671344830435823,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABFL,2025-04-01,AR,0.704470135261998,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABFL,2025-04-07,SOW,4.399017759934342,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABFL,2025-10-02,BC,6.23866450048235,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABFL,2025-10-10,AR_TOP,0.9248181216706112,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABG,2024-02-09,SPRING,,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABG,2025-01-30,BC,4.733142124368594,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABG,2025-01-31,AR_TOP,1.555163794353006,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABG,2025-03-31,SC,3.760190080927959,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABG,2025-04-01,AR,0.7218359787552857,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABIG,2025-08-22,SC,5.518652924464801,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABIG,2025-09-04,AR,1.3874676739852847,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABL,2025-04-09,SC,2.554668536572517,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABL,2025-04-11,AR,1.567096962788788,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABL,2025-06-04,SOW,5.381773168013597,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABL,2025-11-07,SPRING,1.4899410339094732,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLLL,2024-12-30,BC,3.538252360250185,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLLL,2024-12-31,AR_TOP,3.928788479679627,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLLL,2025-03-27,SC,4.965907699852822,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLLL,2025-03-28,AR,1.2911705721685514,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLLL,2025-06-04,SOW,6.107852495172117,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLS,2025-07-09,UT,-0.3064315252605975,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLS,2025-07-21,BC,3.080626499801799,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLS,2025-08-01,AR_TOP,1.2698682882311751,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2024-03-20,SOS,1.6938401306688888,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2024-04-05,SC,2.806453342297244,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2024-04-15,UT,-0.165009876420186,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2024-04-25,AR,0.5029702929688703,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2024-05-30,SOW,2.8558057988541368,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2025-03-07,SPRING,6.086735586042376,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2025-09-09,BC,4.548241682733881,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABLV,2025-09-11,AR_TOP,1.0341487452167997,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2024-03-07,SOW,5.0429864875935175,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2024-06-07,SOS,3.8941470976014574,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2025-03-10,UT,4.05227605553342,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2025-04-07,SPRING,2.7679400056911043,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2025-06-06,SC,5.4237311342394845,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2025-06-09,AR,0.8668405123796187,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2025-09-05,BC,5.623670363667554,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABM,2025-09-08,AR_TOP,1.0394918218288531,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABNB,2024-03-08,UT,0.1379067581620022,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABNB,2024-04-11,SOS,1.8754166933616,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABNB,2025-02-14,BC,4.545723876781554,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABNB,2025-02-19,AR_TOP,0.7100363058993563,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABOS,2024-03-01,SOS,2.046897919150944,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABOS,2024-06-17,UT,-0.4653543266020651,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABOS,2025-10-09,BC,2.9695276041722245,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABOS,2025-10-10,AR_TOP,1.2924863115545522,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
