impl,event,direction,role,horizon,mean_ret_dir,median_ret_dir,win_rate,mae_mean_dir,signal_count,ret_p25,ret_p75,composite_rank,symbols_processed,symbols_scored,symbols_failed,bars_evaluated
baseline_vsa,SOS,UP,ENTRY,10,0.050552904883213894,0.015134996472776052,0.5605066726984845,-0.06757725216543342,4421,-0.04861111111111105,0.08259113504556748,25.666666666666668,97,97,0,47519
baseline_vsa,SOS,UP,ENTRY,20,0.09610635079078046,0.019721183270996256,0.5657620041753654,-0.09720480438554294,4311,-0.07083207956543092,0.12976485381860692,27.0,97,97,0,47519
baseline_vsa,SOS,UP,ENTRY,40,0.19127985705321265,0.026737555007029568,0.5559558117195005,-0.1364665355310501,4164,-0.10545001617481745,0.1872587325651502,29.666666666666668,97,97,0,47519
baseline_vsa,TEST,UP,ENTRY,5,0.007507772042806174,0.0032386115676805716,0.5235655737704918,-0.03830785416292678,11712,-0.03571129243085372,0.04304470781890629,32.666666666666664,97,97,0,47519
baseline_vsa,TEST,UP,ENTRY,10,0.01554742188610609,0.005240018371831412,0.5245601811531092,-0.06107942043897511,11482,-0.052844742435518705,0.06649203570663204,35.0,97,97,0,47519
baseline_vsa,TEST,UP,ENTRY,20,0.041966758735698446,0.01298701298701288,0.5410928476232786,-0.09051646747820526,11255,-0.06909799271640643,0.10365838036783637,33.0,97,97,0,47519
baseline_vsa,TEST,UP,ENTRY,40,0.12652898887572478,0.04205607476635498,0.5870688845033362,-0.12009971852664797,10641,-0.08072487644151571,0.1894091533664517,27.0,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,BC,DOWN,ENTRY,5,0.02269910137952997,0.0012493109409478786,0.5,-0.0773320704072017,42,-0.06275328465438257,0.11070140089374575,37.333333333333336,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,BC,DOWN,ENTRY,10,0.1949358510123831,-0.010462779946746825,0.4523809523809524,-0.11983387881901955,42,-0.09893318393583769,0.12572303094572446,35.666666666666664,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,BC,DOWN,ENTRY,20,0.18898827113323458,-0.0775132551351686,0.40476190476190477,-0.2014004963383274,42,-0.22932825891784792,0.1482286857179283,45.333333333333336,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,BC,DOWN,ENTRY,40,0.28442081194068763,0.038252955625253104,0.5952380952380952,-0.2473556125270794,42,-0.19374999292889825,0.28340433869658854,29.333333333333332,97,97,0,47519
kapman_v0_chatgpt_wyckoff_core,SOS,UP,ENTRY,5,0.022120403258345987,0.008998132463073683,0.5763546798029556,-0.03192671827210098,203,-0.025142077462637746,0.05089518298456619,21.0,97,97,0,47519
