symbol,event_date,event,direction,role
ADUR,2025-04-29,AR,NA,IGNORE
ADUR,2025-09-09,BC,DOWN,ENTRY
ADUR,2025-10-03,SOS,UP,ENTRY
ADUS,2024-02-27,SOW,DOWN,ENTRY
ADUS,2024-06-10,SPRING,UP,ENTRY
ADUS,2024-07-18,SOS,UP,ENTRY
ADUS,2024-11-05,SC,NA,IGNORE
ADUS,2024-11-06,AR,NA,IGNORE
ADUS,2025-08-05,BC,DOWN,ENTRY
ADV,2024-02-29,SOS,UP,ENTRY
ADV,2025-01-16,SPRING,UP,ENTRY
ADV,2025-01-27,SC,NA,IGNORE
ADV,2025-02-11,AR,NA,IGNORE
ADV,2025-03-07,SOW,DOWN,ENTRY
ADV,2025-08-07,BC,DOWN,ENTRY
ADXN,2024-04-09,BC,DOWN,ENTRY
AEE,2024-03-04,SOW,DOWN,ENTRY
AEE,2024-09-25,SPRING,UP,ENTRY
AEE,2024-12-19,SC,NA,IGNORE
AEE,2025-01-08,AR,NA,IGNORE
AEG,2025-02-19,BC,DOWN,ENTRY
AEG,2025-04-09,SC,NA,IGNORE
AEG,2025-04-11,AR,NA,IGNORE
AEG,2025-07-07,SOS,UP,ENTRY
AEHL,2024-05-10,SPRING,UP,ENTRY
AEHL,2024-07-10,SOS,UP,ENTRY
AEHL,2025-01-07,SOW,DOWN,ENTRY
AEHL,2025-11-24,SC,NA,IGNORE
AEHL,2025-11-25,BC,DOWN,ENTRY
AEHL,2025-11-25,AR,NA,IGNORE
AEHR,2025-04-09,SC,NA,IGNORE
AEHR,2025-08-25,BC,DOWN,ENTRY
AEHR,2025-09-22,SOS,UP,ENTRY
AEI,2024-03-07,SOW,DOWN,ENTRY
AEI,2024-05-28,SPRING,UP,ENTRY
AEI,2024-12-30,SC,NA,IGNORE
AEI,2025-01-02,AR,NA,IGNORE
AEI,2025-09-03,BC,DOWN,ENTRY
AEI,2025-09-10,SOS,UP,ENTRY
AEIS,2024-04-04,SOW,DOWN,ENTRY
AEIS,2025-02-14,SPRING,UP,ENTRY
AEIS,2025-08-06,SC,NA,IGNORE
AEIS,2025-08-07,AR,NA,IGNORE
AEIS,2025-11-05,BC,DOWN,ENTRY
AEM,2025-09-19,BC,DOWN,ENTRY
AEM,2025-10-02,SOS,UP,ENTRY
AEMD,2024-02-29,SOS,UP,ENTRY
AEMD,2025-05-12,BC,DOWN,ENTRY
AENT,2024-12-27,SOS,UP,ENTRY
AENT,2025-12-09,BC,DOWN,ENTRY
AEO,2025-04-09,SC,NA,IGNORE
AEO,2025-12-03,BC,DOWN,ENTRY
AEO,2025-12-15,SOS,UP,ENTRY
AEON,2024-03-04,SOS,UP,ENTRY
AEON,2025-10-16,BC,DOWN,ENTRY
AEP,2025-07-30,BC,DOWN,ENTRY
AEP,2025-10-07,SOS,UP,ENTRY
AER,2024-03-05,SOW,DOWN,ENTRY
AER,2024-08-05,SPRING,UP,ENTRY
AER,2025-04-09,SC,NA,IGNORE
AER,2025-04-30,AR,NA,IGNORE
AER,2025-10-29,BC,DOWN,ENTRY
AER,2025-11-05,SOS,UP,ENTRY
AERT,2024-03-20,SOS,UP,ENTRY
AERT,2024-05-15,SOW,DOWN,ENTRY
AERT,2024-09-10,SC,NA,IGNORE
AERT,2024-09-13,AR,NA,IGNORE
AERT,2025-04-03,BC,DOWN,ENTRY
AES,2024-03-05,SOS,UP,ENTRY
AES,2025-10-01,BC,DOWN,ENTRY
AESI,2024-02-27,SOS,UP,ENTRY
AESI,2024-06-04,SC,NA,IGNORE
AESI,2025-10-29,BC,DOWN,ENTRY
AETH,2024-08-05,SC,NA,IGNORE
AETH,2024-08-08,AR,NA,IGNORE
AETH,2025-04-24,SOW,DOWN,ENTRY
AETH,2025-08-20,BC,DOWN,ENTRY
AEVA,2025-06-03,SOS,UP,ENTRY
AEVA,2025-09-17,BC,DOWN,ENTRY
AEYE,2024-04-29,SOS,UP,ENTRY
AEYE,2025-07-25,BC,DOWN,ENTRY
AFBI,2024-02-12,SPRING,UP,ENTRY
AFBI,2024-04-01,SOW,DOWN,ENTRY
AFBI,2024-12-20,BC,DOWN,ENTRY
AFBI,2024-12-31,SC,NA,IGNORE
AFBI,2025-01-02,AR,NA,IGNORE
AFCG,2024-03-11,SOS,UP,ENTRY
AFCG,2025-08-19,SOW,DOWN,ENTRY
AFCG,2025-08-22,SC,NA,IGNORE
