symbol,event,direction,role,event_date,bar_index,impl
KEP,BC,DOWN,ENTRY,2025-07-16,386,kapman_v0_handwritten_structural
KEP,SOS,UP,ENTRY,2025-10-17,452,kapman_v0_handwritten_structural
KEQU,SOS,UP,ENTRY,2024-12-24,248,kapman_v0_handwritten_structural
KEQU,BC,DOWN,ENTRY,2025-06-26,372,kapman_v0_handwritten_structural
KEUA,SOW,DOWN,ENTRY,2024-02-27,40,kapman_v0_handwritten_structural
KEUA,SC,NA,IGNORE,2024-07-12,134,kapman_v0_handwritten_structural
KEUA,AR,NA,IGNORE,2024-08-08,153,kapman_v0_handwritten_structural
KEX,SOS,UP,ENTRY,2024-06-03,107,kapman_v0_handwritten_structural
KEX,BC,DOWN,ENTRY,2025-10-29,460,kapman_v0_handwritten_structural
KEY,SOS,UP,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KEY,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KEY,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KEY,BC,DOWN,ENTRY,2025-07-22,390,kapman_v0_handwritten_structural
KEYS,SPRING,UP,ENTRY,2024-02-20,35,kapman_v0_handwritten_structural
KEYS,SOW,DOWN,ENTRY,2024-05-21,99,kapman_v0_handwritten_structural
KEYS,SC,NA,IGNORE,2025-08-20,411,kapman_v0_handwritten_structural
KEYS,AR,NA,IGNORE,2025-08-22,413,kapman_v0_handwritten_structural
KEYS,BC,DOWN,ENTRY,2025-10-31,462,kapman_v0_handwritten_structural
KEYS,SOS,UP,ENTRY,2025-11-25,479,kapman_v0_handwritten_structural
KFFB,SC,NA,IGNORE,2025-05-09,298,kapman_v0_handwritten_structural
KFFB,AR,NA,IGNORE,2025-05-22,306,kapman_v0_handwritten_structural
KFFB,SOS,UP,ENTRY,2025-10-07,380,kapman_v0_handwritten_structural
KFFB,BC,DOWN,ENTRY,2025-10-13,384,kapman_v0_handwritten_structural
KFRC,SOS,UP,ENTRY,2024-03-04,44,kapman_v0_handwritten_structural
KFRC,BC,DOWN,ENTRY,2024-07-30,146,kapman_v0_handwritten_structural
KFS,BC,DOWN,ENTRY,2024-11-07,217,kapman_v0_handwritten_structural
KFS,SOS,UP,ENTRY,2025-05-15,345,kapman_v0_handwritten_structural
KFY,BC,DOWN,ENTRY,2024-06-13,115,kapman_v0_handwritten_structural
KFY,SOS,UP,ENTRY,2024-08-01,148,kapman_v0_handwritten_structural
KGC,BC,DOWN,ENTRY,2025-09-19,432,kapman_v0_handwritten_structural
KGC,SOS,UP,ENTRY,2025-10-02,441,kapman_v0_handwritten_structural
KGEI,SOS,UP,ENTRY,2025-02-18,278,kapman_v0_handwritten_structural
KGEI,BC,DOWN,ENTRY,2025-03-04,288,kapman_v0_handwritten_structural
KGRN,BC,DOWN,ENTRY,2024-10-01,190,kapman_v0_handwritten_structural
KGRN,SOS,UP,ENTRY,2024-10-07,194,kapman_v0_handwritten_structural
KGRN,SC,NA,IGNORE,2024-11-01,213,kapman_v0_handwritten_structural
KGS,BC,DOWN,ENTRY,2024-07-22,140,kapman_v0_handwritten_structural
KGS,SOS,UP,ENTRY,2024-10-04,193,kapman_v0_handwritten_structural
KHC,SOS,UP,ENTRY,2024-04-19,77,kapman_v0_handwritten_structural
KHC,SC,NA,IGNORE,2025-02-12,281,kapman_v0_handwritten_structural
KHC,AR,NA,IGNORE,2025-02-13,282,kapman_v0_handwritten_structural
KHC,SOW,DOWN,ENTRY,2025-05-21,349,kapman_v0_handwritten_structural
KHC,BC,DOWN,ENTRY,2025-07-11,383,kapman_v0_handwritten_structural
KHC,SPRING,UP,ENTRY,2025-07-11,383,kapman_v0_handwritten_structural
KHYB,SOS,UP,ENTRY,2024-06-03,107,kapman_v0_handwritten_structural
KHYB,SC,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
KHYB,AR,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KHYB,BC,DOWN,ENTRY,2025-09-03,420,kapman_v0_handwritten_structural
KIDS,SOS,UP,ENTRY,2024-03-04,44,kapman_v0_handwritten_structural
KIDS,BC,DOWN,ENTRY,2025-03-05,295,kapman_v0_handwritten_structural
KIE,SOS,UP,ENTRY,2024-07-30,146,kapman_v0_handwritten_structural
KIE,BC,DOWN,ENTRY,2024-08-02,149,kapman_v0_handwritten_structural
KIM,SPRING,UP,ENTRY,2024-04-18,76,kapman_v0_handwritten_structural
KIM,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KIM,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
KINS,SOW,DOWN,ENTRY,2024-02-27,40,kapman_v0_handwritten_structural
KINS,SPRING,UP,ENTRY,2024-11-20,226,kapman_v0_handwritten_structural
KINS,SC,NA,IGNORE,2025-03-14,302,kapman_v0_handwritten_structural
KINS,AR,NA,IGNORE,2025-03-27,311,kapman_v0_handwritten_structural
KINS,BC,DOWN,ENTRY,2025-05-09,341,kapman_v0_handwritten_structural
KITT,BC,DOWN,ENTRY,2025-12-03,484,kapman_v0_handwritten_structural
